Loan_ID,Age,Gender,Marital_Status,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Debt_to_Income_Ratio,Loan_Status,Loan_Status_Numeric
L0026,32,Female,Single,Salaried,96750.2,241041.26,60,677,0.4649878590870138,Rejected,0
L0027,42,Male,Married,Salaried,72201.24,107523.31,24,673,0.5126748996246592,Approved,1
L0028,64,Female,Single,Salaried,30265.51,47933.45,12,687,0.5155201918969569,Approved,1
L0029,45,Female,Married,Salaried,25069.96,17849.11,12,668,0.5192133967353183,Rejected,0
L0030,47,Male,Married,Salaried,26343.99,31126.39,48,611,0.5044515732597767,Rejected,0
L0031,62,Male,Single,Salaried,20000.0,34500.29,12,682,0.5379826614481211,Approved,1
L0032,48,Male,Married,Salaried,52010.71,38484.95,24,570,0.4725397286540774,Rejected,0
L0033,36,Female,Single,Salaried,107975.17,125976.2,48,718,0.5401091243664751,Approved,1
L0034,35,Female,Married,Self-employed,24022.42,28726.27,36,684,0.4970334761783972,Rejected,0
L0035,64,Female,Single,Self-employed,20000.0,42515.39,48,530,0.48324111743292125,Rejected,0
L0036,23,Male,Married,Unemployed,45615.72,71858.56,24,657,0.49233567604840134,Rejected,0
L0037,57,Female,Single,Salaried,23432.59,37700.64,24,639,0.5163770554266032,Approved,1
L0038,27,Male,Divorced,Salaried,38342.62,40818.73,12,670,0.5136364495513266,Rejected,0
L0039,41,Male,Married,Self-employed,90588.58,102080.07,12,602,0.518973234065842,Approved,1
L0040,29,Male,Married,Self-employed,20000.0,28048.05,60,590,0.5249105475504747,Rejected,0
L0041,59,Male,Divorced,Salaried,29987.29,63986.77,48,670,0.47326981300361753,Approved,1
L0042,38,Male,Married,Salaried,53338.66,60479.63,24,705,0.5107385848071574,Rejected,0
L0043,24,Female,Single,Unemployed,52792.84,60341.77,36,625,0.4938380444302927,Rejected,0
L0044,45,Female,Divorced,Salaried,20000.0,32761.85,36,621,0.5357120690028443,Approved,1
L0045,34,Female,Single,Salaried,48095.59,104827.2,36,640,0.48012648882158615,Rejected,0
L0046,29,Male,Married,Salaried,141792.94,213791.49,60,611,0.491310312147657,Rejected,0
L0047,46,Female,Married,Unemployed,130829.4,99007.84,24,550,0.48583539638721057,Rejected,0
L0048,22,Male,Married,Salaried,43900.07,102316.99,36,632,0.48378733902021603,Approved,1
L0049,40,Male,Married,Self-employed,48111.34,69384.89,36,727,0.5008356925611968,Approved,1
L0050,48,Male,Married,Salaried,44756.03,91642.67,36,573,0.5477655102668976,Rejected,0
L0051,27,Male,Single,Salaried,34420.43,20192.82,12,540,0.49876964920230626,Rejected,0
L0052,64,Male,Married,Salaried,41370.11,89874.08,48,732,0.5014231234836906,Approved,1
L0053,28,Male,Divorced,Salaried,20000.0,12333.5,12,720,0.5282348878612363,Approved,1
L0054,55,Male,Divorced,Unemployed,89661.62,218340.91,48,653,0.49952655713336463,Rejected,0
L0055,34,Female,Divorced,Self-employed,27583.41,62914.14,12,677,0.5280979971537684,Rejected,0
L0056,37,Male,Married,Salaried,32700.23,33785.2,24,649,0.49240625076786504,Rejected,0
L0057,56,Female,Single,Salaried,47664.42,45141.59,12,553,0.5082127692769705,Approved,1
L0058,60,Female,Married,Salaried,33623.06,69489.51,12,677,0.5033703689537622,Rejected,0
L0059,24,Male,Married,Self-employed,25534.2,20511.13,24,688,0.5128356695268876,Approved,1
L0060,22,Female,Single,Salaried,65049.94,145489.51,48,666,0.5151547303348333,Approved,1
L0061,26,Male,Divorced,Salaried,20000.0,11276.51,24,563,0.5077375639951617,Rejected,0
L0062,62,Female,Married,Salaried,44181.28,79668.98,48,491,0.490207017940455,Rejected,0
L0063,24,Male,Married,Salaried,105514.92,107638.79,60,600,0.46829072708296293,Rejected,0
L0064,49,Female,Married,Salaried,23248.12,50800.87,36,565,0.47918454398669236,Rejected,0
L0065,38,Female,Single,Salaried,20000.0,25082.37,24,581,0.5274525272295808,Rejected,0
L0066,46,Female,Divorced,Salaried,37518.95,51227.69,60,639,0.516576847234994,Rejected,0
L0067,64,Female,Married,Self-employed,67184.04,53149.53,48,778,0.5033470243311446,Approved,1
L0068,54,Male,Married,Unemployed,73162.55,128217.7,24,634,0.46459213518059417,Rejected,0
L0069,30,Male,Divorced,Salaried,26821.34,38658.05,12,599,0.4637741162325106,Rejected,0
L0070,56,Male,Married,Salaried,118789.02,61459.54,36,664,0.48477776412950907,Rejected,0
L0071,34,Male,Single,Self-employed,54073.78,106077.12,48,649,0.4510526061642314,Rejected,0
L0072,51,Male,Married,Self-employed,24773.76,18732.47,36,708,0.5148547501745455,Approved,1
L0073,35,Female,Married,Salaried,34964.91,54275.26,36,553,0.5197359284297485,Rejected,0
L0074,28,Male,Single,Salaried,59499.46,93899.66,48,590,0.5324071408748796,Rejected,0
L0075,34,Female,Single,Self-employed,60464.33,66436.4,12,697,0.5017104854408035,Rejected,0
L0076,43,Female,Married,Salaried,39673.21,37978.0,24,718,0.49823381317481436,Approved,1
L0077,60,Male,Married,Salaried,30920.34,34714.26,36,677,0.5274966857576776,Rejected,0
L0078,41,Female,Married,Self-employed,67318.59,87246.08,12,646,0.48198840070479176,Rejected,0
L0079,36,Male,Single,Salaried,68263.36,161685.16,36,761,0.47332957318525226,Rejected,0
L0080,65,Female,Divorced,Self-employed,34121.67,62729.22,36,706,0.4924058338061739,Approved,1
L0081,38,Male,Divorced,Self-employed,49816.52,121096.36,12,681,0.49475151731940786,Rejected,0
L0082,44,Male,Married,Salaried,37935.48,25414.59,12,715,0.5315578526008637,Approved,1
L0083,46,Male,Divorced,Self-employed,20784.83,12283.25,24,624,0.5099094623065397,Rejected,0
L0084,45,Male,Married,Salaried,23278.84,14359.57,48,676,0.5286423499331585,Rejected,0
L0085,65,Male,Married,Self-employed,25533.05,56643.02,12,592,0.4842905397732593,Rejected,0
L0086,61,Male,Single,Self-employed,41043.57,89008.06,12,710,0.486186793582178,Rejected,0
L0087,49,Male,Married,Salaried,45128.26,62098.68,12,661,0.5286648250931119,Approved,1
L0088,35,Female,Married,Salaried,20000.0,27419.32,12,647,0.5296746233100273,Rejected,0
L0089,65,Male,Married,Salaried,40134.9,54378.22,24,722,0.5107048080702452,Approved,1
L0090,21,Male,Single,Unemployed,83114.32,198557.18,60,647,0.5120118307463271,Rejected,0
L0091,45,Female,Single,Salaried,57361.93,58722.58,48,670,0.5024007859947727,Approved,1
L0092,27,Female,Married,Salaried,70607.64,136748.73,36,633,0.5011926813132825,Approved,1
L0093,29,Female,Divorced,Unemployed,20000.0,14396.52,12,634,0.49820104764399237,Rejected,0
L0094,44,Male,Single,Salaried,63031.42,64484.63,36,608,0.4963747238268031,Rejected,0
L0095,21,Male,Single,Salaried,97758.5,165868.3,36,706,0.505361767229926,Rejected,0
L0096,64,Male,Married,Self-employed,78632.67,133305.08,48,695,0.5048255612164326,Approved,1
L0097,28,Male,Married,Unemployed,22927.33,36849.32,12,688,0.4844465947604492,Rejected,0
L0098,44,Female,Married,Salaried,39568.36,29557.42,12,567,0.49109318876978675,Rejected,0
L0099,31,Male,Single,Salaried,65969.22,132557.85,60,637,0.4810357109186691,Rejected,0
L0100,37,Female,Single,Unemployed,20000.0,38444.86,24,595,0.5184234148380618,Rejected,0
L0101,28,Male,Divorced,Salaried,73735.86,137287.44,48,605,0.519277966938434,Approved,1
L0102,55,Female,Married,Salaried,37930.22,28775.37,36,647,0.5197037251676835,Rejected,0
L0103,55,Male,Married,Salaried,20000.0,18834.48,24,689,0.5133722787777767,Approved,1
L0104,53,Female,Married,Salaried,47753.12,110859.59,12,643,0.5369727044377471,Rejected,0
L0105,25,Female,Married,Salaried,48509.37,71078.72,36,567,0.504501602686606,Rejected,0
L0106,62,Female,Single,Self-employed,61300.41,81891.25,36,691,0.5265169678338145,Rejected,0
L0107,59,Male,Divorced,Salaried,58539.87,131426.6,48,653,0.5397195749555229,Approved,1
L0108,61,Male,Single,Self-employed,72841.76,79377.95,48,583,0.530379441032079,Rejected,0
L0109,48,Female,Single,Salaried,25927.57,55801.01,24,632,0.5054909212170069,Approved,1
L0110,27,Male,Single,Salaried,24416.57,33767.85,12,641,0.5182155717764074,Rejected,0
L0111,29,Male,Married,Salaried,84123.84,146628.67,36,685,0.5303816121347307,Rejected,0
L0112,28,Male,Divorced,Self-employed,20000.0,24593.22,60,678,0.49640525910989997,Rejected,0
L0113,32,Male,Single,Salaried,20000.0,46654.53,12,697,0.495098327470516,Rejected,0
L0114,54,Male,Married,Salaried,96686.96,68881.61,36,615,0.5022303183037036,Rejected,0
L0115,53,Male,Single,Unemployed,44132.59,41233.81,12,654,0.5259043096194864,Rejected,0
L0116,43,Male,Single,Unemployed,97883.86,88606.8,48,659,0.5267995071138883,Rejected,0
L0117,44,Male,Married,Salaried,27272.05,27831.76,36,739,0.4842189236225358,Approved,1
L0118,57,Male,Married,Salaried,41180.81,58015.98,36,628,0.5021649960470977,Rejected,0
L0119,55,Male,Married,Self-employed,48477.03,35566.48,24,659,0.5412547059273637,Rejected,0
L0120,64,Male,Married,Self-employed,63691.76,36795.07,24,683,0.5306698160361528,Rejected,0
L0121,60,Female,Married,Unemployed,27686.14,45180.52,60,619,0.46168694115120007,Rejected,0
L0122,42,Female,Single,Salaried,77090.59,115962.21,60,640,0.5336693458630972,Rejected,0
L0123,47,Female,Married,Salaried,29393.87,34723.51,24,645,0.4903459576623186,Approved,1
L0124,55,Female,Single,Self-employed,25589.16,21530.81,12,597,0.521901077164418,Rejected,0
L0125,21,Male,Divorced,Salaried,24479.1,17985.64,24,587,0.506464065028256,Rejected,0
L0126,55,Female,Single,Self-employed,141843.58,323126.38,48,678,0.5030667004774989,Approved,1
L0127,57,Male,Single,Self-employed,72850.24,99730.94,36,644,0.5658841712717978,Approved,1
L0128,34,Female,Divorced,Salaried,20000.0,48099.39,36,640,0.5070692684388002,Approved,1
L0129,23,Male,Single,Salaried,68264.47,78543.44,36,690,0.5060627696506931,Rejected,0
L0130,21,Female,Married,Salaried,70107.93,120959.93,36,563,0.5015448860935412,Rejected,0
L0131,25,Male,Married,Salaried,73816.98,120689.59,48,681,0.5241866356838641,Rejected,0
L0132,46,Male,Single,Salaried,24191.9,19961.0,24,660,0.5198122134330868,Rejected,0
L0133,34,Female,Single,Unemployed,92301.0,137308.06,36,583,0.4745296572919192,Rejected,0
L0134,59,Male,Divorced,Salaried,26787.02,39360.42,12,672,0.5043406996634534,Approved,1
L0135,47,Male,Single,Salaried,20000.0,30255.9,12,673,0.4959346307721188,Rejected,0
L0136,29,Male,Divorced,Salaried,62079.77,68529.83,36,666,0.4834743718461035,Rejected,0
L0137,35,Male,Married,Salaried,20000.0,19716.03,12,679,0.48168056129524667,Approved,1
L0138,35,Male,Single,Salaried,22313.66,29476.19,12,612,0.49568790585617717,Approved,1
L0139,46,Female,Divorced,Self-employed,143312.91,336142.15,48,629,0.5066963778957109,Rejected,0
L0140,62,Male,Married,Self-employed,163386.79,267754.87,48,709,0.4748866521385897,Approved,1
L0141,33,Male,Married,Salaried,29945.09,43038.29,24,514,0.5160429065801816,Rejected,0
L0142,52,Male,Married,Salaried,144413.24,128672.54,48,659,0.5019717473349202,Rejected,0
L0143,59,Female,Single,Salaried,33318.17,78371.87,24,653,0.49773468138445226,Rejected,0
L0144,52,Female,Married,Salaried,78616.56,143032.38,48,569,0.5044584301599732,Rejected,0
L0145,24,Female,Single,Salaried,168106.71,416427.57,48,639,0.5208402392870891,Rejected,0
L0146,50,Female,Married,Self-employed,69268.41,58019.15,36,649,0.4532940745131357,Rejected,0
L0147,57,Female,Married,Self-employed,20000.0,25614.39,24,617,0.4611005821707501,Approved,1
L0148,43,Female,Divorced,Unemployed,38588.89,44970.47,36,665,0.5106983284563678,Rejected,0
L0149,59,Female,Married,Self-employed,29120.95,33907.52,24,657,0.5015759950347799,Rejected,0
L0150,65,Male,Married,Salaried,20000.0,11315.87,36,645,0.5086421163520652,Approved,1
L0151,35,Female,Married,Salaried,28821.34,45424.01,24,600,0.4910788482086003,Rejected,0
L0152,63,Male,Single,Salaried,20000.0,34352.6,60,533,0.4913665951978771,Rejected,0
L0153,49,Female,Married,Self-employed,20000.0,11886.57,12,710,0.5130966407930015,Approved,1
L0154,56,Female,Single,Salaried,106034.6,239602.07,36,541,0.5054362012646021,Rejected,0
L0155,33,Female,Divorced,Self-employed,21726.44,19614.77,12,565,0.5079746974411993,Rejected,0
L0156,52,Female,Married,Salaried,39822.5,31668.86,24,588,0.5049917898661261,Rejected,0
L0157,27,Male,Married,Unemployed,90292.53,77689.89,36,663,0.5075376839613728,Rejected,0
L0158,42,Male,Married,Salaried,32086.54,43104.3,24,634,0.4852120998526113,Approved,1
L0159,48,Male,Single,Salaried,51066.39,33946.51,12,676,0.46289449332153826,Rejected,0
L0160,22,Female,Married,Self-employed,51367.0,110321.28,36,731,0.5040033029643689,Rejected,0
L0161,62,Female,Single,Salaried,20000.0,37199.63,36,653,0.5211948510231745,Approved,1
L0162,65,Female,Divorced,Self-employed,22417.51,32378.78,12,583,0.49163351858126936,Rejected,0
L0163,26,Female,Married,Salaried,104005.92,156137.37,60,691,0.4741596237185278,Rejected,0
L0164,48,Female,Single,Self-employed,41145.6,53984.56,36,697,0.5187523753706051,Approved,1
L0165,48,Female,Married,Salaried,35682.26,68910.54,48,615,0.4978001571632242,Approved,1
L0166,64,Female,Single,Salaried,102533.19,246733.96,36,666,0.5322799347243984,Rejected,0
L0167,64,Female,Married,Self-employed,37074.07,59577.6,36,620,0.5007231722560047,Rejected,0
L0168,40,Female,Single,Salaried,84297.66,137135.47,36,663,0.5115095849042531,Rejected,0
L0169,50,Male,Single,Salaried,100575.6,155349.12,48,626,0.5350633637929394,Rejected,0
L0170,31,Female,Married,Self-employed,20000.0,46404.77,36,651,0.5061069306696273,Rejected,0
L0171,48,Male,Single,Unemployed,25460.51,45107.06,36,630,0.5226823814122735,Rejected,0
L0172,45,Male,Single,Salaried,35219.93,79208.71,24,740,0.4754750614751488,Approved,1
L0173,59,Female,Married,Salaried,20000.0,33377.28,36,550,0.4896210592970001,Rejected,0
L0174,53,Male,Divorced,Self-employed,73635.23,139644.28,12,631,0.5097814891946585,Rejected,0
L0175,21,Female,Married,Self-employed,30370.98,55010.71,24,736,0.5215127044545825,Approved,1
L0176,47,Male,Single,Unemployed,20000.0,27628.33,24,721,0.5138681033080716,Rejected,0
L0177,33,Male,Married,Salaried,40497.11,31364.33,36,645,0.5015924754762303,Rejected,0
L0178,61,Male,Single,Salaried,80781.88,108554.44,36,588,0.5235545129331347,Rejected,0
L0179,23,Male,Married,Salaried,31863.22,71501.77,36,660,0.5205526674558956,Rejected,0
L0180,59,Male,Married,Salaried,38201.06,69210.45,24,630,0.4968417318748736,Approved,1
L0181,26,Male,Married,Salaried,53186.6,126960.92,60,671,0.47709464154019476,Approved,1
L0182,28,Male,Single,Salaried,98406.56,104057.91,12,672,0.46572707212246667,Approved,1
L0183,47,Male,Single,Salaried,22547.04,32548.37,12,653,0.5422518500045003,Approved,1
L0184,29,Male,Single,Salaried,87555.97,173941.95,12,636,0.5057610333118692,Approved,1
L0185,57,Female,Divorced,Self-employed,20000.0,15298.36,12,629,0.47551771002622556,Approved,1
L0186,53,Male,Divorced,Self-employed,130031.2,90607.91,48,698,0.48569902138464566,Rejected,0
L0187,62,Female,Single,Salaried,121904.4,244489.64,36,598,0.5115845605953944,Approved,1
L0188,64,Female,Single,Self-employed,57892.14,105973.53,36,688,0.517536823972246,Approved,1
L0189,44,Male,Married,Unemployed,51826.58,75759.52,24,650,0.4754249778782386,Rejected,0
L0190,35,Female,Divorced,Salaried,56858.74,36019.72,36,609,0.48967733719620404,Approved,1
L0191,52,Female,Divorced,Salaried,68028.15,119403.37,36,713,0.4867430357216826,Approved,1
L0192,52,Female,Married,Salaried,34020.78,62494.97,36,563,0.508542199898796,Approved,1
L0193,44,Male,Single,Salaried,20000.0,22020.48,36,631,0.48747398803880715,Rejected,0
L0194,61,Female,Divorced,Salaried,32288.47,21946.09,12,700,0.5110325600985794,Approved,1
L0195,32,Female,Married,Salaried,41028.06,61883.21,12,640,0.49929773822361406,Approved,1
L0196,59,Male,Married,Salaried,53853.14,79304.4,12,665,0.516806887807681,Rejected,0
L0197,22,Male,Married,Salaried,59913.72,65311.62,36,682,0.5120560563039583,Rejected,0
L0198,23,Male,Married,Salaried,35295.15,57446.13,36,709,0.49241011070794916,Approved,1
L0199,57,Female,Married,Salaried,22414.85,38489.02,36,503,0.49811775435704786,Rejected,0
L0200,37,Male,Married,Salaried,129907.78,304658.99,48,701,0.48009420499379896,Approved,1
L0201,22,Female,Married,Salaried,123315.98,252512.0,60,669,0.4871475111250283,Rejected,0
L0202,22,Male,Divorced,Salaried,83412.84,176692.33,36,687,0.5345777820500757,Rejected,0
L0203,48,Female,Married,Self-employed,50953.86,44397.29,24,688,0.4826323815881373,Rejected,0
L0204,43,Male,Married,Self-employed,22449.09,31794.75,24,544,0.5015263446303768,Rejected,0
L0205,57,Male,Married,Salaried,20000.0,18310.61,12,698,0.5225179312099123,Approved,1
L0206,52,Male,Married,Unemployed,109896.11,96070.73,48,663,0.5283499225200651,Rejected,0
L0207,53,Male,Divorced,Self-employed,65069.01,98312.24,48,647,0.4888986769690443,Rejected,0
L0208,21,Male,Divorced,Salaried,53818.78,57057.9,48,622,0.4800532361094258,Approved,1
L0209,39,Male,Single,Salaried,28125.95,26133.76,12,587,0.5146664263231444,Approved,1
L0210,22,Male,Married,Salaried,200000.0,390261.99,48,666,0.5325643714528342,Rejected,0
L0211,64,Female,Single,Salaried,20000.0,11356.13,24,656,0.4662317635878319,Approved,1
L0212,46,Female,Married,Salaried,75872.48,152066.67,12,650,0.4943250411375235,Approved,1
L0213,52,Male,Married,Salaried,20000.0,45946.39,12,714,0.506486789995089,Approved,1
L0214,26,Male,Married,Self-employed,51224.88,97814.71,36,663,0.4600348696608824,Approved,1
L0215,52,Male,Divorced,Salaried,55576.54,49254.08,12,635,0.478928230127482,Rejected,0
L0216,24,Female,Married,Salaried,24079.41,47480.98,12,678,0.5103587522701375,Approved,1
L0217,31,Male,Single,Salaried,32762.58,49275.86,12,624,0.5083284395948996,Approved,1
L0218,37,Male,Married,Unemployed,63228.84,112291.11,48,541,0.493426062898752,Rejected,0
L0219,58,Male,Married,Salaried,20000.0,25707.88,12,690,0.5355742213785141,Approved,1
L0220,44,Female,Single,Salaried,36587.14,32219.49,12,564,0.49507388910045913,Rejected,0
L0221,25,Male,Married,Salaried,37724.71,20580.63,12,725,0.4926589961502364,Approved,1
L0222,54,Female,Divorced,Salaried,34664.37,68717.19,24,616,0.49239370247582714,Approved,1
L0223,26,Male,Married,Salaried,48553.32,65709.37,36,583,0.4945487993209002,Rejected,0
L0224,42,Male,Married,Self-employed,34943.88,34393.39,24,643,0.516102946431117,Rejected,0
L0225,31,Male,Single,Salaried,62615.48,109314.8,36,656,0.49679952210482575,Approved,1
L0226,36,Male,Single,Salaried,72119.41,150376.49,24,728,0.5059351979298141,Approved,1
L0227,53,Male,Married,Salaried,20000.0,31153.35,12,687,0.48214111276338284,Approved,1
L0228,29,Male,Single,Self-employed,53386.78,107987.34,48,677,0.5077299681892479,Rejected,0
L0229,26,Male,Single,Salaried,27594.93,32483.5,12,620,0.5179524171846466,Approved,1
L0230,36,Male,Married,Self-employed,62441.07,112773.8,24,725,0.5133318241539506,Approved,1
L0231,49,Male,Divorced,Salaried,61506.03,106536.82,48,753,0.5014838912440499,Approved,1
L0232,23,Female,Married,Salaried,37012.52,31334.81,12,619,0.48994674013908057,Rejected,0
L0233,40,Male,Married,Self-employed,43642.66,86274.76,36,614,0.4840677555743351,Rejected,0
L0234,56,Female,Single,Salaried,43044.29,86968.93,24,717,0.5038422417876725,Approved,1
L0235,39,Male,Married,Salaried,77012.61,139653.06,48,661,0.5006307126636156,Approved,1
L0236,46,Male,Single,Salaried,74408.01,93683.15,12,692,0.4959503290358525,Rejected,0
L0237,23,Male,Married,Salaried,46485.12,74021.81,24,739,0.4864846204525385,Approved,1
L0238,39,Male,Married,Salaried,89958.01,123824.04,48,749,0.4979230956904561,Rejected,0
L0239,40,Male,Divorced,Salaried,20000.0,10118.58,12,686,0.5245279039914682,Rejected,0
L0240,52,Male,Single,Salaried,61574.98,32179.13,24,699,0.4847608085158035,Approved,1
L0241,27,Female,Single,Salaried,64547.19,57694.85,24,671,0.49990494936793073,Approved,1
L0242,61,Male,Married,Salaried,20000.0,46520.56,12,739,0.49562810417240777,Approved,1
L0243,53,Male,Married,Salaried,65934.35,116227.8,48,685,0.46341230657024635,Approved,1
L0244,60,Male,Single,Self-employed,106345.65,136093.49,48,665,0.5211610824687544,Rejected,0
L0245,59,Male,Divorced,Salaried,51677.46,88585.21,48,709,0.481870001063758,Approved,1
L0246,38,Female,Married,Self-employed,37117.83,23302.1,12,563,0.4883016389013045,Rejected,0
L0247,60,Male,Married,Salaried,110871.74,78577.06,36,609,0.5206650989515922,Approved,1
L0248,21,Male,Married,Salaried,38461.52,25455.57,24,635,0.4804344368764806,Rejected,0
L0249,31,Male,Married,Self-employed,38119.02,81350.04,36,568,0.49717351844636537,Rejected,0
L0250,48,Male,Single,Salaried,53038.4,132584.65,48,591,0.5101753441586727,Rejected,0
L0251,45,Female,Married,Salaried,49396.81,46785.31,24,642,0.5041609111096401,Rejected,0
L0252,43,Female,Married,Salaried,33991.67,49810.29,24,596,0.5023322477629892,Rejected,0
L0253,51,Male,Married,Salaried,54585.55,41773.08,12,639,0.5338233119104998,Rejected,0
L0254,50,Male,Married,Salaried,84166.13,190513.34,36,645,0.4968178348037654,Rejected,0
L0255,62,Female,Married,Salaried,55095.55,44719.85,36,708,0.49881948371757595,Approved,1
L0256,55,Male,Divorced,Salaried,26082.28,40422.87,12,587,0.47872771019678656,Rejected,0
L0257,27,Male,Single,Self-employed,83622.6,139038.56,48,655,0.4676670517163712,Rejected,0
L0258,36,Female,Married,Salaried,34057.68,49766.23,12,643,0.4606605138628909,Rejected,0
L0259,46,Male,Single,Salaried,41023.5,25518.59,24,683,0.48754895582194413,Approved,1
L0260,22,Male,Single,Unemployed,27355.3,51175.33,12,589,0.5131730961794124,Rejected,0
L0261,21,Male,Married,Salaried,40816.18,92712.76,36,655,0.5203710592731318,Approved,1
L0262,32,Female,Married,Salaried,92805.02,63114.26,60,722,0.5106965246185969,Approved,1
L0263,25,Male,Married,Self-employed,159555.54,312108.97,48,686,0.5351716792337708,Rejected,0
L0264,57,Female,Married,Salaried,36972.55,79205.5,12,664,0.4945469943833628,Approved,1
L0265,52,Female,Divorced,Unemployed,91543.23,75653.28,48,575,0.4653773891105387,Approved,1
L0266,29,Male,Married,Salaried,40033.88,99611.42,36,694,0.45716660892245586,Rejected,0
L0267,61,Male,Divorced,Salaried,41298.34,45266.82,24,663,0.5095175977023226,Approved,1
L0268,55,Male,Single,Salaried,200000.0,223920.42,48,609,0.542720962909165,Approved,1
L0269,39,Male,Married,Salaried,26556.34,43411.82,12,627,0.4852084598728819,Rejected,0
L0270,36,Female,Divorced,Unemployed,20000.0,42762.03,24,669,0.4922523835020657,Rejected,0
L0271,23,Male,Married,Self-employed,72085.6,102169.68,36,655,0.49769556622894606,Rejected,0
L0272,40,Male,Married,Self-employed,44533.32,70883.58,12,642,0.5131069492605467,Rejected,0
L0273,44,Female,Single,Salaried,66679.82,115619.46,36,723,0.48041168030796555,Approved,1
L0274,53,Male,Married,Self-employed,108611.87,226472.57,36,599,0.5116939131479706,Rejected,0
L0275,44,Female,Married,Self-employed,31068.7,55722.32,24,624,0.49904014034529187,Rejected,0
L0276,31,Female,Single,Salaried,28451.53,23850.15,24,623,0.43237935795228116,Approved,1
L0277,28,Male,Divorced,Self-employed,68152.26,115878.68,36,685,0.47975568766885884,Rejected,0
L0278,56,Male,Married,Self-employed,20000.0,18514.28,12,647,0.5252086513499066,Rejected,0
L0279,58,Female,Married,Self-employed,20000.0,27438.46,12,614,0.5202533041918951,Rejected,0
L0280,60,Female,Single,Salaried,20000.0,44630.54,24,637,0.4986212093623219,Approved,1
L0281,40,Male,Single,Unemployed,44865.61,33539.45,24,665,0.4740223566013429,Rejected,0
L0282,55,Male,Married,Salaried,68108.99,83352.57,48,660,0.4971189041971077,Approved,1
L0283,45,Male,Divorced,Self-employed,51309.42,83282.1,48,616,0.5501392246311051,Rejected,0
L0284,55,Male,Single,Salaried,20000.0,44829.06,12,540,0.48254971917143336,Approved,1
L0285,45,Male,Single,Unemployed,20000.0,41157.52,24,606,0.5141511273765196,Rejected,0
L0286,49,Male,Divorced,Salaried,32761.97,44162.1,24,666,0.5089618673998552,Rejected,0
L0287,38,Male,Divorced,Salaried,20000.0,29972.28,36,700,0.5080564903562312,Rejected,0
L0288,38,Male,Married,Salaried,20187.9,44259.13,12,659,0.5001263316618744,Rejected,0
L0289,22,Female,Married,Salaried,114070.24,257115.49,36,627,0.5099991494501167,Rejected,0
L0290,55,Female,Single,Unemployed,44838.47,69819.04,12,666,0.4923787150383208,Rejected,0
L0291,36,Male,Divorced,Unemployed,67926.05,61015.29,36,703,0.5115848442860231,Approved,1
L0292,61,Male,Single,Salaried,26733.85,40001.37,12,676,0.49202996494018914,Approved,1
