Loan_ID,Age,Gender,Marital_Status,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Debt_to_Income_Ratio,Loan_Status
L0078,41,Female,Married,Self-employed,67318.59,87246.08,12,646,0.5,Rejected
L0079,36,Male,Single,Salaried,68263.36,161685.16,36,761,0.5,Rejected
L0080,65,Female,Divorced,Self-employed,34121.67,62729.22,36,706,0.5,Approved
L0081,38,Male,Divorced,Self-employed,49816.52,121096.36,12,681,0.5,Rejected
L0082,44,Male,Married,Salaried,37935.48,25414.59,12,715,0.5,Approved
L0083,46,Male,Divorced,Self-employed,20784.83,12283.25,24,624,0.5,Rejected
L0084,45,Male,Married,Salaried,23278.84,14359.57,48,676,0.5,Rejected
L0085,65,Male,Married,Self-employed,25533.05,56643.02,12,592,0.5,Rejected
L0086,61,Male,Single,Self-employed,41043.57,89008.06,12,710,0.5,Rejected
L0087,49,Male,Married,Salaried,45128.26,62098.68,12,661,0.5,Approved
L0088,35,Female,Married,Salaried,20000.0,27419.32,12,647,0.5,Rejected
L0089,65,Male,Married,Salaried,40134.9,54378.22,24,722,0.5,Approved
L0090,21,Male,Single,Unemployed,83114.32,198557.18,60,647,0.5,Rejected
L0091,45,Female,Single,Salaried,57361.93,58722.58,48,670,0.5,Approved
L0092,27,Female,Married,Salaried,70607.64,136748.73,36,633,0.5,Approved
L0093,29,Female,Divorced,Unemployed,20000.0,14396.52,12,634,0.5,Rejected
L0094,44,Male,Single,Salaried,63031.42,64484.63,36,608,0.5,Rejected
L0095,21,Male,Single,Salaried,97758.5,165868.3,36,706,0.5,Rejected
L0096,64,Male,Married,Self-employed,78632.67,133305.08,48,695,0.5,Approved
L0097,28,Male,Married,Unemployed,22927.33,36849.32,12,688,0.5,Rejected
L0098,44,Female,Married,Salaried,39568.36,29557.42,12,567,0.5,Rejected
L0099,31,Male,Single,Salaried,65969.22,132557.85,60,637,0.5,Rejected
L0100,37,Female,Single,Unemployed,20000.0,38444.86,24,595,0.5,Rejected
L0101,28,Male,Divorced,Salaried,73735.86,137287.44,48,605,0.5,Approved
L0102,55,Female,Married,Salaried,37930.22,28775.37,36,647,0.5,Rejected
L0103,55,Male,Married,Salaried,20000.0,18834.48,24,689,0.5,Approved
L0104,53,Female,Married,Salaried,47753.12,110859.59,12,643,0.5,Rejected
L0105,25,Female,Married,Salaried,48509.37,71078.72,36,567,0.5,Rejected
L0106,62,Female,Single,Self-employed,61300.41,81891.25,36,691,0.5,Rejected
L0107,59,Male,Divorced,Salaried,58539.87,131426.6,48,653,0.5,Approved
L0108,61,Male,Single,Self-employed,72841.76,79377.95,48,583,0.5,Rejected
L0109,48,Female,Single,Salaried,25927.57,55801.01,24,632,0.5,Approved
L0110,27,Male,Single,Salaried,24416.57,33767.85,12,641,0.5,Rejected
L0111,29,Male,Married,Salaried,84123.84,146628.67,36,685,0.5,Rejected
L0112,28,Male,Divorced,Self-employed,20000.0,24593.22,60,678,0.5,Rejected
L0113,32,Male,Single,Salaried,20000.0,46654.53,12,697,0.5,Rejected
L0114,54,Male,Married,Salaried,96686.96,68881.61,36,615,0.5,Rejected
L0115,53,Male,Single,Unemployed,44132.59,41233.81,12,654,0.5,Rejected
L0116,43,Male,Single,Unemployed,97883.86,88606.8,48,659,0.5,Rejected
L0117,44,Male,Married,Salaried,27272.05,27831.76,36,739,0.5,Approved
L0118,57,Male,Married,Salaried,41180.81,58015.98,36,628,0.5,Rejected
L0119,55,Male,Married,Self-employed,48477.03,35566.48,24,659,0.5,Rejected
L0120,64,Male,Married,Self-employed,63691.76,36795.07,24,683,0.5,Rejected
L0121,60,Female,Married,Unemployed,27686.14,45180.52,60,619,0.5,Rejected
L0122,42,Female,Single,Salaried,77090.59,115962.21,60,640,0.5,Rejected
L0123,47,Female,Married,Salaried,29393.87,34723.51,24,645,0.5,Approved
L0124,55,Female,Single,Self-employed,25589.16,21530.81,12,597,0.5,Rejected
L0125,21,Male,Divorced,Salaried,24479.1,17985.64,24,587,0.5,Rejected
L0126,55,Female,Single,Self-employed,141843.58,323126.38,48,678,0.5,Approved
L0127,57,Male,Single,Self-employed,72850.24,99730.94,36,644,0.5,Approved
L0128,34,Female,Divorced,Salaried,20000.0,48099.39,36,640,0.5,Approved
L0129,23,Male,Single,Salaried,68264.47,78543.44,36,690,0.5,Rejected
L0130,21,Female,Married,Salaried,70107.93,120959.93,36,563,0.5,Rejected
L0131,25,Male,Married,Salaried,73816.98,120689.59,48,681,0.5,Rejected
L0132,46,Male,Single,Salaried,24191.9,19961.0,24,660,0.5,Rejected
L0133,34,Female,Single,Unemployed,92301.0,137308.06,36,583,0.5,Rejected
L0134,59,Male,Divorced,Salaried,26787.02,39360.42,12,672,0.5,Approved
L0135,47,Male,Single,Salaried,20000.0,30255.9,12,673,0.5,Rejected
L0136,29,Male,Divorced,Salaried,62079.77,68529.83,36,666,0.5,Rejected
L0137,35,Male,Married,Salaried,20000.0,19716.03,12,679,0.5,Approved
L0138,35,Male,Single,Salaried,22313.66,29476.19,12,612,0.5,Approved
L0139,46,Female,Divorced,Self-employed,143312.91,336142.15,48,629,0.5,Rejected
L0140,62,Male,Married,Self-employed,163386.79,267754.87,48,709,0.5,Approved
L0141,33,Male,Married,Salaried,29945.09,43038.29,24,514,0.5,Rejected
L0142,52,Male,Married,Salaried,144413.24,128672.54,48,659,0.5,Rejected
L0143,59,Female,Single,Salaried,33318.17,78371.87,24,653,0.5,Rejected
L0144,52,Female,Married,Salaried,78616.56,143032.38,48,569,0.5,Rejected
L0145,24,Female,Single,Salaried,168106.71,416427.57,48,639,0.5,Rejected
L0146,50,Female,Married,Self-employed,69268.41,58019.15,36,649,0.5,Rejected
L0147,57,Female,Married,Self-employed,20000.0,25614.39,24,617,0.5,Approved
L0148,43,Female,Divorced,Unemployed,38588.89,44970.47,36,665,0.5,Rejected
L0149,59,Female,Married,Self-employed,29120.95,33907.52,24,657,0.5,Rejected
L0150,65,Male,Married,Salaried,20000.0,11315.87,36,645,0.5,Approved
L0151,35,Female,Married,Salaried,28821.34,45424.01,24,600,0.5,Rejected
L0152,63,Male,Single,Salaried,20000.0,34352.6,60,533,0.5,Rejected
L0153,49,Female,Married,Self-employed,20000.0,11886.57,12,710,0.5,Approved
L0154,56,Female,Single,Salaried,106034.6,239602.07,36,541,0.5,Rejected
L0155,33,Female,Divorced,Self-employed,21726.44,19614.77,12,565,0.5,Rejected
L0156,52,Female,Married,Salaried,39822.5,31668.86,24,588,0.5,Rejected
L0157,27,Male,Married,Unemployed,90292.53,77689.89,36,663,0.5,Rejected
L0158,42,Male,Married,Salaried,32086.54,43104.3,24,634,0.5,Approved
L0159,48,Male,Single,Salaried,51066.39,33946.51,12,676,0.5,Rejected
L0160,22,Female,Married,Self-employed,51367.0,110321.28,36,731,0.5,Rejected
L0161,62,Female,Single,Salaried,20000.0,37199.63,36,653,0.5,Approved
L0162,65,Female,Divorced,Self-employed,22417.51,32378.78,12,583,0.5,Rejected
L0163,26,Female,Married,Salaried,104005.92,156137.37,60,691,0.5,Rejected
L0164,48,Female,Single,Self-employed,41145.6,53984.56,36,697,0.5,Approved
L0165,48,Female,Married,Salaried,35682.26,68910.54,48,615,0.5,Approved
L0166,64,Female,Single,Salaried,102533.19,246733.96,36,666,0.5,Rejected
L0167,64,Female,Married,Self-employed,37074.07,59577.6,36,620,0.5,Rejected
L0168,40,Female,Single,Salaried,84297.66,137135.47,36,663,0.5,Rejected
L0169,50,Male,Single,Salaried,100575.6,155349.12,48,626,0.5,Rejected
L0170,31,Female,Married,Self-employed,20000.0,46404.77,36,651,0.5,Rejected
L0171,48,Male,Single,Unemployed,25460.51,45107.06,36,630,0.5,Rejected
L0172,45,Male,Single,Salaried,35219.93,79208.71,24,740,0.5,Approved
L0173,59,Female,Married,Salaried,20000.0,33377.28,36,550,0.5,Rejected
L0174,53,Male,Divorced,Self-employed,73635.23,139644.28,12,631,0.5,Rejected
L0175,21,Female,Married,Self-employed,30370.98,55010.71,24,736,0.5,Approved
L0176,47,Male,Single,Unemployed,20000.0,27628.33,24,721,0.5,Rejected
L0177,33,Male,Married,Salaried,40497.11,31364.33,36,645,0.5,Rejected
L0178,61,Male,Single,Salaried,80781.88,108554.44,36,588,0.5,Rejected
L0179,23,Male,Married,Salaried,31863.22,71501.77,36,660,0.5,Rejected
L0180,59,Male,Married,Salaried,38201.06,69210.45,24,630,0.5,Approved
L0181,26,Male,Married,Salaried,53186.6,126960.92,60,671,0.5,Approved
L0182,28,Male,Single,Salaried,98406.56,104057.91,12,672,0.5,Approved
L0183,47,Male,Single,Salaried,22547.04,32548.37,12,653,0.5,Approved
L0184,29,Male,Single,Salaried,87555.97,173941.95,12,636,0.5,Approved
L0185,57,Female,Divorced,Self-employed,20000.0,15298.36,12,629,0.5,Approved
L0186,53,Male,Divorced,Self-employed,130031.2,90607.91,48,698,0.5,Rejected
L0187,62,Female,Single,Salaried,121904.4,244489.64,36,598,0.5,Approved
L0188,64,Female,Single,Self-employed,57892.14,105973.53,36,688,0.5,Approved
L0189,44,Male,Married,Unemployed,51826.58,75759.52,24,650,0.5,Rejected
L0190,35,Female,Divorced,Salaried,56858.74,36019.72,36,609,0.5,Approved
L0191,52,Female,Divorced,Salaried,68028.15,119403.37,36,713,0.5,Approved
L0192,52,Female,Married,Salaried,34020.78,62494.97,36,563,0.5,Approved
L0193,44,Male,Single,Salaried,20000.0,22020.48,36,631,0.5,Rejected
L0194,61,Female,Divorced,Salaried,32288.47,21946.09,12,700,0.5,Approved
L0195,32,Female,Married,Salaried,41028.06,61883.21,12,640,0.5,Approved
L0196,59,Male,Married,Salaried,53853.14,79304.4,12,665,0.5,Rejected
L0197,22,Male,Married,Salaried,59913.72,65311.62,36,682,0.5,Rejected
L0198,23,Male,Married,Salaried,35295.15,57446.13,36,709,0.5,Approved
L0199,57,Female,Married,Salaried,22414.85,38489.02,36,503,0.5,Rejected
L0200,37,Male,Married,Salaried,129907.78,304658.99,48,701,0.5,Approved
L0201,22,Female,Married,Salaried,123315.98,252512.0,60,669,0.5,Rejected
L0202,22,Male,Divorced,Salaried,83412.84,176692.33,36,687,0.5,Rejected
L0203,48,Female,Married,Self-employed,50953.86,44397.29,24,688,0.5,Rejected
L0204,43,Male,Married,Self-employed,22449.09,31794.75,24,544,0.5,Rejected
L0205,57,Male,Married,Salaried,20000.0,18310.61,12,698,0.5,Approved
L0206,52,Male,Married,Unemployed,109896.11,96070.73,48,663,0.5,Rejected
L0207,53,Male,Divorced,Self-employed,65069.01,98312.24,48,647,0.5,Rejected
L0208,21,Male,Divorced,Salaried,53818.78,57057.9,48,622,0.5,Approved
L0209,39,Male,Single,Salaried,28125.95,26133.76,12,587,0.5,Approved
L0210,22,Male,Married,Salaried,200000.0,390261.99,48,666,0.5,Rejected
L0211,64,Female,Single,Salaried,20000.0,11356.13,24,656,0.5,Approved
L0212,46,Female,Married,Salaried,75872.48,152066.67,12,650,0.5,Approved
L0213,52,Male,Married,Salaried,20000.0,45946.39,12,714,0.5,Approved
L0214,26,Male,Married,Self-employed,51224.88,97814.71,36,663,0.5,Approved
L0215,52,Male,Divorced,Salaried,55576.54,49254.08,12,635,0.5,Rejected
L0216,24,Female,Married,Salaried,24079.41,47480.98,12,678,0.5,Approved
L0217,31,Male,Single,Salaried,32762.58,49275.86,12,624,0.5,Approved
L0218,37,Male,Married,Unemployed,63228.84,112291.11,48,541,0.5,Rejected
L0219,58,Male,Married,Salaried,20000.0,25707.88,12,690,0.5,Approved
L0220,44,Female,Single,Salaried,36587.14,32219.49,12,564,0.5,Rejected
L0221,25,Male,Married,Salaried,37724.71,20580.63,12,725,0.5,Approved
L0222,54,Female,Divorced,Salaried,34664.37,68717.19,24,616,0.5,Approved
L0223,26,Male,Married,Salaried,48553.32,65709.37,36,583,0.5,Rejected
L0224,42,Male,Married,Self-employed,34943.88,34393.39,24,643,0.5,Rejected
L0225,31,Male,Single,Salaried,62615.48,109314.8,36,656,0.5,Approved
L0226,36,Male,Single,Salaried,72119.41,150376.49,24,728,0.5,Approved
L0227,53,Male,Married,Salaried,20000.0,31153.35,12,687,0.5,Approved
L0228,29,Male,Single,Self-employed,53386.78,107987.34,48,677,0.5,Rejected
L0229,26,Male,Single,Salaried,27594.93,32483.5,12,620,0.5,Approved
L0230,36,Male,Married,Self-employed,62441.07,112773.8,24,725,0.5,Approved
L0231,49,Male,Divorced,Salaried,61506.03,106536.82,48,753,0.5,Approved
L0232,23,Female,Married,Salaried,37012.52,31334.81,12,619,0.5,Rejected
L0233,40,Male,Married,Self-employed,43642.66,86274.76,36,614,0.5,Rejected
L0234,56,Female,Single,Salaried,43044.29,86968.93,24,717,0.5,Approved
L0235,39,Male,Married,Salaried,77012.61,139653.06,48,661,0.5,Approved
L0236,46,Male,Single,Salaried,74408.01,93683.15,12,692,0.5,Rejected
L0237,23,Male,Married,Salaried,46485.12,74021.81,24,739,0.5,Approved
L0238,39,Male,Married,Salaried,89958.01,123824.04,48,749,0.5,Rejected
L0239,40,Male,Divorced,Salaried,20000.0,10118.58,12,686,0.5,Rejected
L0240,52,Male,Single,Salaried,61574.98,32179.13,24,699,0.5,Approved
L0241,27,Female,Single,Salaried,64547.19,57694.85,24,671,0.5,Approved
L0242,61,Male,Married,Salaried,20000.0,46520.56,12,739,0.5,Approved
L0243,53,Male,Married,Salaried,65934.35,116227.8,48,685,0.5,Approved
L0244,60,Male,Single,Self-employed,106345.65,136093.49,48,665,0.5,Rejected
L0245,59,Male,Divorced,Salaried,51677.46,88585.21,48,709,0.5,Approved
L0246,38,Female,Married,Self-employed,37117.83,23302.1,12,563,0.5,Rejected
L0247,60,Male,Married,Salaried,110871.74,78577.06,36,609,0.5,Approved
L0248,21,Male,Married,Salaried,38461.52,25455.57,24,635,0.5,Rejected
L0249,31,Male,Married,Self-employed,38119.02,81350.04,36,568,0.5,Rejected
L0250,48,Male,Single,Salaried,53038.4,132584.65,48,591,0.5,Rejected
L0251,45,Female,Married,Salaried,49396.81,46785.31,24,642,0.5,Rejected
L0252,43,Female,Married,Salaried,33991.67,49810.29,24,596,0.5,Rejected
L0253,51,Male,Married,Salaried,54585.55,41773.08,12,639,0.5,Rejected
L0254,50,Male,Married,Salaried,84166.13,190513.34,36,645,0.5,Rejected
L0255,62,Female,Married,Salaried,55095.55,44719.85,36,708,0.5,Approved
L0256,55,Male,Divorced,Salaried,26082.28,40422.87,12,587,0.5,Rejected
L0257,27,Male,Single,Self-employed,83622.6,139038.56,48,655,0.5,Rejected
L0258,36,Female,Married,Salaried,34057.68,49766.23,12,643,0.5,Rejected
L0259,46,Male,Single,Salaried,41023.5,25518.59,24,683,0.5,Approved
L0260,22,Male,Single,Unemployed,27355.3,51175.33,12,589,0.5,Rejected
L0261,21,Male,Married,Salaried,40816.18,92712.76,36,655,0.5,Approved
L0262,32,Female,Married,Salaried,92805.02,63114.26,60,722,0.5,Approved
L0263,25,Male,Married,Self-employed,159555.54,312108.97,48,686,0.5,Rejected
L0264,57,Female,Married,Salaried,36972.55,79205.5,12,664,0.5,Approved
L0265,52,Female,Divorced,Unemployed,91543.23,75653.28,48,575,0.5,Approved
L0266,29,Male,Married,Salaried,40033.88,99611.42,36,694,0.5,Rejected
L0267,61,Male,Divorced,Salaried,41298.34,45266.82,24,663,0.5,Approved
L0268,55,Male,Single,Salaried,200000.0,223920.42,48,609,0.5,Approved
L0269,39,Male,Married,Salaried,26556.34,43411.82,12,627,0.5,Rejected
L0270,36,Female,Divorced,Unemployed,20000.0,42762.03,24,669,0.5,Rejected
L0271,23,Male,Married,Self-employed,72085.6,102169.68,36,655,0.5,Rejected
L0272,40,Male,Married,Self-employed,44533.32,70883.58,12,642,0.5,Rejected
L0273,44,Female,Single,Salaried,66679.82,115619.46,36,723,0.5,Approved
L0274,53,Male,Married,Self-employed,108611.87,226472.57,36,599,0.5,Rejected
L0275,44,Female,Married,Self-employed,31068.7,55722.32,24,624,0.5,Rejected
L0276,31,Female,Single,Salaried,28451.53,23850.15,24,623,0.5,Approved
L0277,28,Male,Divorced,Self-employed,68152.26,115878.68,36,685,0.5,Rejected
L0278,56,Male,Married,Self-employed,20000.0,18514.28,12,647,0.5,Rejected
L0279,58,Female,Married,Self-employed,20000.0,27438.46,12,614,0.5,Rejected
L0280,60,Female,Single,Salaried,20000.0,44630.54,24,637,0.5,Approved
L0281,40,Male,Single,Unemployed,44865.61,33539.45,24,665,0.5,Rejected
L0282,55,Male,Married,Salaried,68108.99,83352.57,48,660,0.5,Approved
L0283,45,Male,Divorced,Self-employed,51309.42,83282.1,48,616,0.5,Rejected
L0284,55,Male,Single,Salaried,20000.0,44829.06,12,540,0.5,Approved
L0285,45,Male,Single,Unemployed,20000.0,41157.52,24,606,0.5,Rejected
L0286,49,Male,Divorced,Salaried,32761.97,44162.1,24,666,0.5,Rejected
L0287,38,Male,Divorced,Salaried,20000.0,29972.28,36,700,0.5,Rejected
L0288,38,Male,Married,Salaried,20187.9,44259.13,12,659,0.5,Rejected
L0289,22,Female,Married,Salaried,114070.24,257115.49,36,627,0.5,Rejected
L0290,55,Female,Single,Unemployed,44838.47,69819.04,12,666,0.5,Rejected
L0291,36,Male,Divorced,Unemployed,67926.05,61015.29,36,703,0.5,Approved
L0292,61,Male,Single,Salaried,26733.85,40001.37,12,676,0.5,Approved
L0293,56,Male,Married,Salaried,117927.97,277555.95,48,725,0.5,Approved
L0294,53,Male,Single,Salaried,21296.41,36655.28,12,615,0.5,Rejected
L0295,24,Female,Married,Salaried,189041.24,386861.83,60,615,0.5,Approved
L0296,53,Male,Divorced,Self-employed,20000.0,10748.16,24,708,0.5,Rejected
L0297,34,Female,Married,Self-employed,27310.77,48305.23,12,685,0.5,Approved
L0298,41,Male,Divorced,Salaried,20000.0,33939.28,12,713,0.5,Rejected
L0299,40,Female,Married,Salaried,134847.34,194730.23,36,676,0.5,Rejected
L0300,28,Male,Divorced,Self-employed,22880.31,42514.83,12,551,0.5,Rejected
L0301,27,Male,Married,Salaried,69715.7,155236.8,24,620,0.5,Rejected
L0302,23,Male,Single,Salaried,37859.01,89289.36,24,645,0.5,Rejected
L0303,37,Female,Divorced,Salaried,51996.63,52703.5,60,609,0.5,Approved
L0304,53,Female,Single,Salaried,109759.97,165698.51,36,676,0.5,Rejected
L0305,32,Female,Single,Salaried,44696.17,49296.64,12,621,0.5,Approved
L0306,42,Female,Married,Unemployed,20000.0,26744.96,12,578,0.5,Rejected
L0307,42,Female,Married,Salaried,57777.07,86529.59,36,698,0.5,Approved
L0308,50,Male,Divorced,Self-employed,62383.13,129169.16,12,678,0.5,Rejected
L0309,58,Male,Married,Salaried,20000.0,46639.59,12,614,0.5,Approved
L0310,58,Female,Single,Self-employed,36096.94,60452.49,12,625,0.5,Rejected
L0311,65,Female,Single,Salaried,20000.0,49692.62,12,620,0.5,Rejected
L0312,28,Female,Married,Salaried,64295.92,105048.22,60,691,0.5,Approved
L0313,47,Male,Married,Salaried,200000.0,422530.52,36,701,0.5,Approved
L0314,47,Male,Married,Self-employed,27861.65,21668.07,12,614,0.5,Approved
L0315,54,Female,Married,Self-employed,34912.01,17993.75,36,631,0.49,Rejected
L0316,41,Male,Divorced,Unemployed,65310.78,36186.94,12,715,0.5,Rejected
L0317,50,Male,Single,Salaried,30943.92,70676.48,60,668,0.5,Approved
L0318,53,Female,Married,Salaried,20369.95,13229.8,60,671,0.5,Rejected
L0319,48,Female,Married,Salaried,41039.15,70825.13,36,728,0.5,Rejected
L0320,53,Male,Single,Salaried,32619.74,53906.16,60,666,0.5,Rejected
L0321,25,Female,Married,Salaried,26629.66,54892.53,24,632,0.5,Approved
L0322,39,Female,Married,Self-employed,69101.49,77872.59,24,633,0.5,Rejected
L0323,24,Female,Married,Salaried,74236.78,89568.16,48,630,0.5,Rejected
L0324,55,Female,Divorced,Self-employed,41504.07,50084.42,36,697,0.5,Rejected
L0325,37,Male,Married,Salaried,29754.96,24900.38,36,687,0.5,Approved
L0326,64,Male,Married,Salaried,20000.0,18315.8,12,670,0.5,Rejected
L0327,48,Male,Divorced,Salaried,35817.73,32061.46,24,660,0.5,Approved
L0328,50,Male,Married,Salaried,88961.78,70415.5,24,690,0.5,Approved
L0329,49,Male,Divorced,Unemployed,42754.2,87302.23,12,589,0.5,Rejected
L0330,26,Male,Married,Self-employed,182195.4,313329.35,48,663,0.5,Approved
L0331,55,Male,Married,Self-employed,22857.42,37453.2,12,636,0.5,Rejected
L0332,61,Male,Married,Unemployed,20201.76,37437.01,24,579,0.5,Rejected
L0333,57,Male,Married,Salaried,30522.32,36313.28,12,686,0.5,Approved
L0334,44,Female,Married,Salaried,43026.87,84343.14,36,654,0.5,Approved
L0335,49,Male,Married,Self-employed,25021.21,26198.42,48,662,0.5,Rejected
L0336,51,Male,Married,Salaried,47662.16,101777.3,48,653,0.5,Rejected
L0337,55,Male,Married,Salaried,44132.98,76393.62,12,604,0.5,Rejected
L0338,53,Male,Single,Salaried,84169.37,180400.1,48,587,0.5,Rejected
L0339,41,Female,Divorced,Salaried,25363.29,15454.62,36,562,0.5,Rejected
L0340,52,Male,Divorced,Self-employed,23815.15,52071.25,24,615,0.5,Approved
L0341,43,Male,Single,Salaried,45542.41,32009.62,24,657,0.5,Approved
L0342,53,Male,Divorced,Salaried,82628.94,151806.88,12,724,0.5,Approved
L0343,23,Male,Married,Salaried,31839.85,30435.04,24,547,0.5,Rejected
